DATE,QCAR628BIS
2000-01-01,54.9799
2000-04-01,55.5592
2000-07-01,54.9213
2000-10-01,55.1145
2001-01-01,54.8502
2001-04-01,56.2557
2001-07-01,56.3561
2001-10-01,57.6213
2002-01-01,59.7421
2002-04-01,61.1777
2002-07-01,60.0201
2002-10-01,61.6195
2003-01-01,62.1073
2003-04-01,64.2569
2003-07-01,65.3643
2003-10-01,67.1735
2004-01-01,67.9603
2004-04-01,70.3091
2004-07-01,68.5258
2004-10-01,70.8394
2005-01-01,71.7559
2005-04-01,73.8764
2005-07-01,75.5365
2005-10-01,77.2501
2006-01-01,80.5762
2006-04-01,84.4544
2006-07-01,87.5742
2006-10-01,89.126
2007-01-01,91.7756
2007-04-01,95.138
2007-07-01,97.8373
2007-10-01,98.6508
2008-01-01,99.938
2008-04-01,98.5991
2008-07-01,95.63
2008-10-01,93.248
2009-01-01,90.4175
2009-04-01,91.723
2009-07-01,94.8854
2009-10-01,97.4996
2010-01-01,100.2085
2010-04-01,101.3405
2010-07-01,99.7246
2010-10-01,98.7433
2011-01-01,100.6818
2011-04-01,102.6888
2011-07-01,103.9151
2011-10-01,103.9001
2012-01-01,105.6935
2012-04-01,107.0359
2012-07-01,106.1532
2012-10-01,104.7648
2013-01-01,105.462
2013-04-01,107.0074
2013-07-01,107.3931
2013-10-01,107.9723
2014-01-01,109.2708
2014-04-01,110.3016
2014-07-01,110.944
2014-10-01,111.8682
2015-01-01,114.6922
2015-04-01,117.3947
2015-07-01,119.4651
2015-10-01,121.4407
2016-01-01,127.6241
2016-04-01,134.4154
2016-07-01,138.3909
2016-10-01,139.1508
2017-01-01,147.205
2017-04-01,154.6629
2017-07-01,156.4976
2017-10-01,155.5216
2018-01-01,154.9742
2018-04-01,155.6852
2018-07-01,155.2483
2018-10-01,155.114
2019-01-01,153.4089
2019-04-01,152.7045
2019-07-01,152.5876
2019-10-01,154.4244
2020-01-01,157.1135
